bus,d,t,V_V,P_gen_kW,P_dem_kW,Q_dem_kVar,n_cap
B20,0,10,14990.64881583485,0.0,13.88749425,6.543498737,-0.0
B20,0,11,14990.505701656333,0.0,13.736592630000002,6.054819364,-0.0
B20,0,12,14990.109269029062,0.0,14.06372462,5.864386351,-0.0
B20,0,13,14992.412085058266,0.0,9.505782939,4.050962336,-0.0
B20,0,14,14992.602388796533,0.0,9.13258314,3.999771274,-0.0
B20,0,15,14992.752093576944,0.0,9.094388322,3.971757126,-0.0
B20,0,16,14992.62998195611,0.0,9.146309822,4.050880222,-0.0
B20,0,17,14991.894591275606,0.0,9.367265217,4.605809152,-0.0
B20,0,18,14992.42344670405,0.0,7.318808814,3.791142497,-0.0
B20,0,19,14992.547600361611,0.0,7.316199425,4.227328755,-0.0
B20,0,20,14993.319137106875,0.0,6.114047065,3.837631048,-0.0
B20,0,21,14993.444045505672,0.0,6.114047065,4.260196861,-0.0
B20,0,22,14993.654349708906,0.0,6.114047065,4.666568667,-0.0
B20,0,23,14994.652318800001,0.0,6.114047065,4.604165726,-0.0
B20,0,24,14995.255921789741,0.0,6.114047065,4.62424995,-0.0
B21,0,1,14997.704151144648,0.0,10.86941701,6.529190407,-0.0
B21,0,2,14997.732605327237,0.0,10.86941701,7.613369007,-0.0
B21,0,3,14997.71877063279,0.0,10.86941701,7.633252087,-0.0
B21,0,4,14997.765161490577,0.0,10.86941701,7.5701311979999995,-0.0
B21,0,5,14997.65010863568,0.0,10.86941701,7.689465542,-0.0
B21,0,6,14997.346309891074,0.0,10.86941701,7.524503902,-0.0
B21,0,7,14996.145112859369,0.0,17.644627750000005,11.62220234,-0.0
B21,0,8,14995.921612581302,0.0,17.76093182,11.1019536,-0.0
B21,0,9,14994.852307714995,0.0,24.14416664,13.31990029,-0.0
B21,0,10,14994.814248905688,0.0,24.68887867,11.63288664,-0.0
B21,0,11,14994.734522351428,0.0,24.42060912,10.76412331,-0.0
