i,j,d,t,P_kW,Q_kVar,I_A,y_pos,y_neg
B11,B22,0,24,0.0,0.0,0.0,-0.0,-0.0
B12,B16,0,1,-28.53235897818761,-17.139193608748695,1.2821070444201843,0.0,1.0
B12,B16,0,2,-28.5323722446923,-19.98516896152652,1.341831703132979,0.0,1.0
B12,B16,0,3,-28.53237249195157,-20.037362192854495,1.3429817476348513,0.0,1.0
B12,B16,0,4,-28.532371746720088,-19.871669524738802,1.3393678779647233,0.0,1.0
B12,B16,0,5,-28.53237327471375,-20.184922813401215,1.3462704875204545,0.0,1.0
B12,B16,0,6,-28.532371086702135,-19.751897507929456,1.3367882370426005,0.0,1.0
B12,B16,0,7,-46.3175349250362,-30.508472213856965,2.13710247267044,0.0,1.0
B12,B16,0,8,-46.62282648840267,-29.14281599142859,2.118684147662589,0.0,1.0
B12,B16,0,9,-63.37909720423682,-34.965063928672066,2.7900138423586567,0.0,1.0
B12,B16,0,10,-64.8089528805114,-30.536646509930634,2.7614219653370897,0.0,1.0
B12,B16,0,11,-64.10471694441684,-28.2561287402211,2.7002372652634055,0.0,1.0
B12,B16,0,12,-65.63135171432701,-27.36745059808625,2.740920430820237,0.0,1.0
B12,B16,0,13,-44.360613000432025,-18.904635331858742,1.8580782492864671,0.0,1.0
B12,B16,0,14,-42.618993717074645,-18.665733708885156,1.7927874904449213,0.0,1.0
B12,B16,0,15,-42.44074860954443,-18.534999956808775,1.7844698887984458,0.0,1.0
B12,B16,0,16,-42.6830533866626,-18.904243078941697,1.798764600995809,0.0,1.0
B12,B16,0,17,-43.7142030080876,-21.493923453812787,1.8771691845618297,0.0,1.0
B12,B16,0,18,-34.15462732053964,-17.692090215927763,1.4821927391291996,0.0,1.0
B12,B16,0,19,-34.142459668723205,-19.727630775218724,1.5194478967105398,0.0,1.0
B12,B16,0,20,-28.53236249561685,-17.909015332679424,1.297950016594301,0.0,1.0
B12,B16,0,21,-28.532371805148227,-19.880993787076996,1.3398896663948179,0.0,1.0
B12,B16,0,22,-28.532381678708102,-21.777400539130102,1.3829219815729754,0.0,1.0
B12,B16,0,23,-28.532380107232743,-21.486186036148887,1.376058538778762,0.0,1.0
B12,B16,0,24,-28.532380586730582,-21.57991255088747,1.3780964216456515,0.0,1.0
B20,B26,0,1,-183.27343326422536,-65.9960910960195,7.499677022490257,0.0,1.0
B20,B26,0,2,-178.0568419381384,-76.9507857515741,7.4680586731072625,0.0,1.0
B20,B26,0,3,-175.4475103400816,-77.15116156606165,7.379061274162771,0.0,1.0
B20,B26,0,4,-174.14275459473754,-76.51306671357553,7.3231434135084115,0.0,1.0
B20,B26,0,5,-175.22261866586533,-77.71916616642264,7.380036691155134,0.0,1.0
B20,B26,0,6,-186.01520894167047,-76.0544972693056,7.737515158617738,0.0,1.0
B20,B26,0,7,-275.3860465713884,-117.49039991249158,11.529244927774378,0.0,1.0
B20,B26,0,8,-297.3112557340432,-112.23999574394433,12.237751990206336,0.0,1.0
B20,B26,0,9,-368.5964559544675,-134.68476564096346,15.113894613863884,0.0,1.0
B20,B26,0,10,-370.04857135698256,-117.63687890477703,14.95468063028749,0.0,1.0
B20,B26,0,11,-363.57755950062943,-108.85439834758968,14.616945093756398,0.0,1.0
B20,B26,0,12,-370.67810494619386,-105.43658831060466,14.842955351661216,0.0,1.0
B20,B26,0,13,-281.9527129927354,-72.8205550745113,11.214049347102161,0.0,1.0
